epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,0.76484,0.7074,0.52073,0.795,0.0001,75.2
2,0.47396,0.8132,0.33586,0.8583,0.0001,153.9
3,0.35883,0.8568,0.32343,0.8633,0.0001,240.9
4,0.28607,0.8853,0.30752,0.88,0.0001,325.3
5,0.25674,0.9012,0.28834,0.8933,0.0001,404.5
6,0.21869,0.9062,0.2287,0.915,0.0001,489.9
7,0.19896,0.9282,0.24218,0.9133,0.0001,577.5
8,0.17269,0.9324,0.23572,0.9133,0.0001,664.0
9,0.18067,0.9347,0.22002,0.9167,0.0001,747.5
10,0.14459,0.9476,0.21846,0.9133,0.0001,834.8
11,0.13218,0.9529,0.25872,0.9033,0.0001,923.7
12,0.13211,0.9465,0.22197,0.9167,0.0001,1011.9
13,0.11327,0.9579,0.19091,0.9167,0.0001,1096.0
14,0.08605,0.9706,0.18636,0.9183,0.0001,1184.9
15,0.08517,0.9676,0.23862,0.9117,0.0001,1274.7
